name,safe_name,price,link,image,file,original_file,processed_file,processed_size
First Sensations Yeşil Nane Aromalı 27 G,First Sensations Yeşil Nane Aromalı 27 G,59.95,https://www.migros.com.tr/first-sensations-yesil-nane-aromali-27-g-p-6ca5a3,https://images.migrosone.com/sanalmarket/product/07120291/07120291-c95372.jpg,snack_First Sensations Yeşil Nane Aromalı 27 G.jpg,snack_First Sensations Yeşil Nane Aromalı 27 G.jpg,processed\snack_First Sensations Yeşil Nane Aromalı 27 G.jpg,330x330
Tadım Kavrulmuş Siyah Ayçekirdeği 180 G,Tadım Kavrulmuş Siyah Ayçekirdeği 180 G,56.00,https://www.migros.com.tr/tadim-kavrulmus-siyah-aycekirdegi-180-g-p-7b70db,https://images.migrosone.com/sanalmarket/product/08089819/8089819-5f54d6.jpg,snack_Tadım Kavrulmuş Siyah Ayçekirdeği 180 G.jpg,snack_Tadım Kavrulmuş Siyah Ayçekirdeği 180 G.jpg,processed\snack_Tadım Kavrulmuş Siyah Ayçekirdeği 180 G.jpg,330x330
Eti Karam Gurme Bitter Çikolata Kremalı Gofret 3'lü 150 G,Eti Karam Gurme Bitter Çikolata Kremalı Gofret 3'lü 150 G,89.50,https://www.migros.com.tr/eti-karam-gurme-bitter-cikolata-kremali-gofret-3lu-150-g-p-6d5053,https://images.migrosone.com/sanalmarket/product/07163987/07163987-235c4a.jpg,snack_Eti Karam Gurme Bitter Çikolata Kremalı Gofret 3'lü 150 G.jpg,snack_Eti Karam Gurme Bitter Çikolata Kremalı Gofret 3'lü 150 G.jpg,processed\snack_Eti Karam Gurme Bitter Çikolata Kremalı Gofret 3'lü 150 G.jpg,330x330
Eti Browni Gold Vişneli Çikolatalı Kek 45 G,Eti Browni Gold Vişneli Çikolatalı Kek 45 G,14.95,https://www.migros.com.tr/eti-browni-gold-visneli-cikolatali-kek-45-g-p-4de181,https://images.migrosone.com/sanalmarket/product/05104001/5104001-9c71b6.jpg,snack_Eti Browni Gold Vişneli Çikolatalı Kek 45 G.jpg,snack_Eti Browni Gold Vişneli Çikolatalı Kek 45 G.jpg,processed\snack_Eti Browni Gold Vişneli Çikolatalı Kek 45 G.jpg,330x330
Eti Browni Intense Mini Çikolatalı Kek 160 G,Eti Browni Intense Mini Çikolatalı Kek 160 G,84.95,https://www.migros.com.tr/eti-browni-intense-mini-cikolatali-kek-160-g-p-4dcb15,https://images.migrosone.com/sanalmarket/product/05098261/05098261_1-f25afe.jpg,snack_Eti Browni Intense Mini Çikolatalı Kek 160 G.jpg,snack_Eti Browni Intense Mini Çikolatalı Kek 160 G.jpg,processed\snack_Eti Browni Intense Mini Çikolatalı Kek 160 G.jpg,330x330
Kahve Dünyası Tambol Fındıklı Sütlü Çikolata 77 G,Kahve Dünyası Tambol Fındıklı Sütlü Çikolata 77 G,84.95,https://www.migros.com.tr/kahve-dunyasi-tambol-findikli-sutlu-cikolata-77-g-p-6b9426,https://images.migrosone.com/sanalmarket/product/07050278/7050278_1-b27f20.jpg,snack_Kahve Dünyası Tambol Fındıklı Sütlü Çikolata 77 G.jpg,snack_Kahve Dünyası Tambol Fındıklı Sütlü Çikolata 77 G.jpg,processed\snack_Kahve Dünyası Tambol Fındıklı Sütlü Çikolata 77 G.jpg,330x330
Eti Burçak Tam Buğday Unlu Bisküvi 3 x 131 G,Eti Burçak Tam Buğday Unlu Bisküvi 3 x 131 G,72.95,https://www.migros.com.tr/eti-burcak-tam-bugday-unlu-biskuvi-3-x-131-g-p-6af755,https://images.migrosone.com/sanalmarket/product/07010133/07010133-2cad2d.jpg,snack_Eti Burçak Tam Buğday Unlu Bisküvi 3 x 131 G.jpg,snack_Eti Burçak Tam Buğday Unlu Bisküvi 3 x 131 G.jpg,processed\snack_Eti Burçak Tam Buğday Unlu Bisküvi 3 x 131 G.jpg,330x330
Tadım Bol Tuzlu Kavrulmuş Siyah Ayçekirdek 180 G,Tadım Bol Tuzlu Kavrulmuş Siyah Ayçekirdek 180 G,56.00,https://www.migros.com.tr/tadim-bol-tuzlu-kavrulmus-siyah-aycekirdek-180-g-p-7b716a,https://images.migrosone.com/sanalmarket/product/08089962/8089962-d53d61.jpg,snack_Tadım Bol Tuzlu Kavrulmuş Siyah Ayçekirdek 180 G.jpg,snack_Tadım Bol Tuzlu Kavrulmuş Siyah Ayçekirdek 180 G.jpg,processed\snack_Tadım Bol Tuzlu Kavrulmuş Siyah Ayçekirdek 180 G.jpg,330x330
Torku Gala Gold Çikolata Kaplamalı Çikolata Soslu Kek 45 G,Torku Gala Gold Çikolata Kaplamalı Çikolata Soslu Kek 45 G,21.50,https://www.migros.com.tr/torku-gala-gold-cikolata-kaplamali-cikolata-soslu-kek-45-g-p-6b4ae1,https://images.migrosone.com/sanalmarket/product/07031521/07031521_1-7aaa79.jpg,choco_Torku Gala Gold Çikolata Kaplamalı Çikolata Soslu Kek 45 G.jpg,choco_Torku Gala Gold Çikolata Kaplamalı Çikolata Soslu Kek 45 G.jpg,processed\choco_Torku Gala Gold Çikolata Kaplamalı Çikolata Soslu Kek 45 G.jpg,330x330
Çokonat Kaplı Gofret 33 G,Çokonat Kaplı Gofret 33 G,24.95,https://www.migros.com.tr/cokonat-kapli-gofret-33-g-p-6d40e3,https://images.migrosone.com/sanalmarket/product/07160035/7160035_1-5b5692.jpg,choco_Çokonat Kaplı Gofret 33 G.jpg,choco_Çokonat Kaplı Gofret 33 G.jpg,processed\choco_Çokonat Kaplı Gofret 33 G.jpg,330x330
